notebook,rerun_required,comment_update_recommended,action_taken,remaining_action,reason
outputs/executed_notebooks/00_data_provenance_and_trace_audit.ipynb,False,False,none_required,none,Selected actions reuse downstream Step 04-08 outputs and do not change data provenance.
outputs/executed_notebooks/01_feature_extraction_and_qc.ipynb,False,False,none_required,none,Feature thresholds are consumed by the interpolation screen but were not modified.
outputs/executed_notebooks/02_feature_contracts_and_region_aware_thresholds.ipynb,False,False,none_required,none,Region-aware feature bands are reused unchanged by the new gate audits.
outputs/executed_notebooks/03_combined_identifiability_profiles_fim.ipynb,False,False,none_required,none,Step 03 identifiability evidence is reused unchanged in cell-specific and semantic parameter audits.
outputs/executed_notebooks/04_cell_specific_six_sweep_fitting.ipynb,False,False,none_required,none,No Step 04 refit is performed; full accepted ensemble and candidate history are reused.
outputs/executed_notebooks/05_mechanistic_decomposition.ipynb,False,False,interpretation_centralized_in_step09,optional_future_cross_reference_only,"New interpolation and phenotype-threshold audits qualify Step 05 mechanism labels, but core Step 05 outputs are unchanged and Step 09 now reports the derived interpretation."
outputs/executed_notebooks/06_predictive_validation_and_perturbation.ipynb,False,False,interpretation_centralized_in_step09,optional_future_cross_reference_only,"New phenotype robustness, prediction-limited failure, and K_o endpoint summaries refine interpretation of existing Step 06 outputs and are reported by Step 09."
outputs/executed_notebooks/07_assumption_sensitivity.ipynb,False,False,interpretation_centralized_in_step09,optional_future_cross_reference_only,All-current and proxy-exclusion audits refine Step 07 interpretation and are reported by Step 09; no optimizer rerun is required.
outputs/executed_notebooks/08_parameter_plausibility_and_constrained_reruns.ipynb,False,False,interpretation_centralized_in_step09,optional_future_cross_reference_only,"Full-ensemble, semantic-class, citation, and cell-specific spread audits strengthen Step 08 guardrails and are reported by Step 09 without changing Step 08 core calculations."
outputs/executed_notebooks/09_reviewer_response_synthesis.ipynb,False,False,updated_and_rerun,none_unless_selected_action_gates_change,"Step 09 was updated to incorporate selected-action gates in claim maturity, manifest outputs, and post-execution interpretation."
