perturbation_context,feature,n_rows,n_match,n_opposite,n_undefined,match_fraction,sigmoid_transition_rows_available,gate_status,allowed_claim,remaining_requirement
MFA_BA_from_MFA_legacy,decay_slope_mV_per_s,162,63,73,0,0.3888888888888889,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_from_MFA_legacy,decay_tau_s,162,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_from_MFA_legacy,peak_depolarization_mV,162,57,78,0,0.35185185185185186,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_from_MFA_legacy,return_slope_mV_per_s,162,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_from_MFA_legacy,rise_slope_mV_per_s,162,68,67,0,0.41975308641975306,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_from_MFA_legacy,rise_tau_s,162,54,76,0,0.3333333333333333,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_from_MFA_legacy,stim_end_depolarization_mV,162,54,81,0,0.3333333333333333,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_from_MFA_legacy,undershoot_magnitude_mV,162,33,34,0,0.2037037037037037,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_stacked_on_control_legacy,decay_slope_mV_per_s,204,91,76,0,0.44607843137254904,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_stacked_on_control_legacy,decay_tau_s,204,17,12,0,0.08333333333333333,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_stacked_on_control_legacy,peak_depolarization_mV,204,72,98,0,0.35294117647058826,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_stacked_on_control_legacy,return_slope_mV_per_s,204,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_stacked_on_control_legacy,rise_slope_mV_per_s,204,75,95,0,0.36764705882352944,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
