claim,current_maturity,reviewer_targets,gap_id,gap_theme,current_evidence,why_not_sufficient,reviewer_pdf_basis,hypothesis_to_test,proposed_action,current_data_available,current_code_available,accessibility,estimated_effort,quick_win_priority,recommended_timing,quick_win_rationale,expected_artifact,support_gate,fallback_if_negative,dependencies,row_review_status
accepted parameters are physiologically interpretable,partial,R4,PARAM-01,All best-per-cell candidates are downgraded for out-of-range raw parameters,Step08 interpretability_status has 30/30 rows downgraded_out_of_range_parameters; zth is above upper bound for all 30 candidates.,A parameter claim cannot be supported while every candidate violates at least one broad range.,PDF lines 99-103: Vm-only fitting weakly constrains ionic dynamics and several parameters appear outside physiological range.,Out-of-range flags reflect either incorrect unit/range semantics for phenomenological parameters or genuine invalid accepted fits.,"Audit parameter_ranges.csv against units and biological meaning; split raw parameters into physiological, phenomenological, and effective-only categories before Step08 scoring.",yes: parameter_ranges.csv and Step08 audit,yes: range loader and interpretability table exist,quick_win_current_outputs,low_medium,1,next_iteration_quick_win,Could resolve false downgrades or correctly narrow the claim without rerunning fits.,outputs/parameter_plausibility/parameter_semantics_audit.csv,Only parameters with defensible units/ranges and identifiability can be biologically interpreted; phenomenological parameters are excluded from physiological claims.,Keep all raw parameter claims downgraded and report effective coordinates only.,Step08 range table; literature/source notes,reviewed_individually
accepted parameters are physiologically interpretable,partial,"R4,R6",PARAM-05,"Step08 uses best-per-cell candidates, not the full 2098 accepted ensemble",Step08 analysis_summary n_candidates=30 while Step04 accepted ensemble has 2098 accepted candidates.,A claim about accepted parameters across the ensemble needs to characterize distribution across all accepted candidates or justify best-per-cell selection.,PDF lines 51-53 and 99-101: uncertainty/weak constraints are central to degeneracy claims.,"Out-of-range and weak-identifiability patterns are similar across all accepted candidates, not just best-per-cell rows.","Add a full-accepted-ensemble parameter audit mode without constrained resimulation, then compare best-per-cell versus all-accepted distributions.",yes: 2098 accepted rows and ranges,yes: Step08 audit functions can be run on larger dataframe; avoid expensive constrained reruns initially,quick_win_current_outputs,low,1,next_iteration_quick_win,"Fast distribution audit, no simulations required.",outputs/parameter_plausibility/full_accepted_parameter_audit.csv,Best-per-cell parameter conclusions should match full-ensemble distribution or be explicitly scoped.,State Step08 is a best-per-cell screen only.,Step04 accepted ensemble; Step08 range audit,reviewed_individually
accepted parameters are physiologically interpretable,partial,R4,PARAM-06,Raw gating parameters zth/zs may be phenomenological rather than physiological,zth above upper bound in 30/30 candidates; zs above upper bound in 5/30; current range audit treats them as raw physiology-like coordinates.,"If zth/zs are fitted phenomenological switching coordinates, their raw values should not block or support biological parameter claims in the same way as conductance/effective coordinates.",PDF lines 61-64 and 74-81: variables and sigmoid gating require physical meaning and justification.,Reclassifying gating-shape coordinates as phenomenological guardrails leaves a smaller set of biologically interpretable parameters with clearer status.,Update Step08 range schema with `interpretation_class` and recompute claim status excluding phenomenological gating coordinates from physiological-parameter pass/fail while still reporting them as model guardrails.,yes,yes: Step08 range validation and audit can be extended,quick_win_code_schema,low_medium,1,next_iteration_quick_win,"Could immediately make Step08 wording more accurate and less over-punitive, without hiding violations.",outputs/parameter_plausibility/parameter_interpretation_class_audit.csv,Physiological parameter claim excludes coordinates declared phenomenological before analysis; guardrail violations remain limitations.,Keep zth/zs as blockers and avoid physiological parameter claim.,Step08 schema update; manuscript wording,reviewed_individually
accepted parameters are physiologically interpretable,partial,"R4,R6",PARAM-07,Broad constraints do not always preserve prediction/mechanism,Step08 interpretability_status: prediction_persists_under_constraints is 0.867 and mechanism_persists_under_constraints is 0.933; some candidates fail constrained persistence.,Parameter plausibility is weaker where broad constraints change prediction or mechanism outcomes.,PDF lines 99-103: weakly constrained parameters and out-of-range values challenge ionic dynamics interpretation.,Failures are concentrated in specific strata/parameters and can be addressed with constrained refit or claim scoping.,Create a constrained-failure diagnostic by cell/region/condition/parameter and route failing candidates to constrained refit or exclusion from parameter claims.,yes: constrained_rerun_comparison and interpretability_status,yes: groupby diagnostics,quick_win_current_outputs,low,1,next_iteration_quick_win,Clarifies blockers before heavier refits.,outputs/parameter_plausibility/constrained_failure_modes.csv,Candidate-level parameter claim allowed only if prediction and mechanism persist under constraints.,Exclude failing candidates from parameter interpretation claims.,Step08 outputs,reviewed_individually
accepted parameters are physiologically interpretable,partial,"R4,R1",PARAM-02,Many coordinates are weakly identified even when within broad range,Step08 reports mean 6 weakly identified parameters per candidate; effective coordinates are within range but weakly identified.,Within-range values are not interpretable if Vm-only data leave them sloppy or non-separable.,PDF lines 99-101 and 113-118: weak constraints and parameter compensation can masquerade as degeneracy.,Cell-specific accepted fits have better or worse identifiability than the representative Step03 centers.,"Run local profile/FIM diagnostics around Step04 best-per-cell accepted candidates, not only legacy representative centers.",yes: best-per-cell candidates and simulator,partial: Step03 FIM/profile tooling exists but must be adapted to Step04 candidate rows,requires_modest_code,medium,2,next_iteration_if_time,Directly tests whether parameter interpretability improves in the reviewer-facing accepted ensemble.,outputs/parameter_plausibility/cell_specific_identifiability_audit.csv,Biological parameter interpretation requires within-range plus cell-specific identifiable/non-broad profile status.,Report weakly identified effective/manifold coordinates only.,Step03 diagnostics; Step04 accepted candidates,reviewed_individually
accepted parameters are physiologically interpretable,partial,R4,PARAM-04,Parameter ranges are editable but not yet literature-citation audited,Step08 reports parameter_ranges_status=reused_existing_editable_csv but range_basis is broad_model_guardrail/effective_coordinate_guardrail.,"Reviewer-facing physiological plausibility needs traceable biological or modeling basis, especially for raw conductance/gating parameters.",PDF lines 61-64 and 101-104: variables require physical meaning/units and links to biological references.,"Some current broad bounds can be justified, while others should be reclassified as phenomenological model guardrails.",Add citation/basis columns to parameter_ranges.csv and a notebook section separating biological literature bounds from numerical model guardrails.,partial: current ranges exist; citations need literature/manual curation,yes: validator can enforce extra columns,requires_manual_curation_low_code,medium,2,next_iteration_if_time,"Improves interpretability guardrails with little code, but needs careful literature work.",outputs/parameter_plausibility/parameter_ranges_citation_audit.csv,Physiological interpretation only for ranges with explicit unit and citation/basis status.,"Label as broad numerical guardrail, not physiology.",parameter_ranges.csv; literature review,reviewed_individually
accepted parameters are physiologically interpretable,partial,"R4,R6",PARAM-03,"Constrained screen is projection/resimulation, not constrained refitting",Step08 comparison_kind is step04_unconstrained_candidate_vs_broad_range_projection; no optimizer reruns inside bounds.,Projection can test persistence but cannot prove that physiologically bounded fits can explain the data from optimization.,PDF lines 99-103: out-of-range fitted parameters require substantial interpretation effort.,A constrained optimizer can find in-range accepted fits with comparable held-out performance and mechanism persistence.,"Add constrained Step04 reruns for best-per-cell and sparse/failing strata using parameter bounds/priors, then compare acceptance and mechanism labels.","yes: ranges, thresholds, accepted candidates",partial: Step04 optimizer exists; bounded rerun orchestration needed,requires_substantial_compute_and_code,high,4,fallback_or_longer_term,Scientifically important but heavier than audit fixes.,outputs/parameter_plausibility/constrained_refit_acceptance.csv,Parameter claim strengthens only if constrained refits meet Step04 acceptance and Step06 validation gates.,"Conclude current accepted fits are phenomenological/effective, not physiologically parameterized.",Step04 optimizer; parameter ranges; Step06 validation,reviewed_individually
candidate mechanism regimes are biologically interpretable,candidate_regime_screen,"R5,R6",MECH-02,Phenotype tags are provisional and not phenotype-stratified in validation,"Step05 writes 2098 phenotype tags and M vectors; Step06 robustness_summary reports mechanism-region-condition validation, not per-phenotype validation.","A phenotype label needs predictive or perturbation support for that phenotype, not only for the broader mechanism cluster.",PDF lines 118-122: no evidence that degenerate regimes correspond to distinct astrocytic phenotypes/pathways and robustness under perturbations is not systematic.,Some Step05 buffering phenotypes preserve Vm features and hidden flux plausibility under perturbations better than others.,"Extend Step06 summaries by buffering_phenotype and phenotype window, using existing perturbation_sweeps and robustness inputs.",yes: phenotype tags already merged into Step06 perturbation rows,partial: grouping logic exists; add phenotype-level summary table and notebook section,quick_win_current_outputs,low,1,next_iteration_quick_win,Likely computable directly from existing Step06 outputs without rerunning simulations.,outputs/predictive_validation/phenotype_robustness_summary.csv,"Phenotype claim only if phenotype groups have sufficient cells and pass held-out, PPC, perturbation, Vm-feature, and hidden-flux gates.",Keep phenotype tags as descriptive/provisional supplements.,Step05 phenotype tags; Step06 perturbation_sweeps,reviewed_individually
candidate mechanism regimes are biologically interpretable,candidate_regime_screen,"R2,R5",MECH-03,Sparse or uneven region-condition support limits population-level mechanism claims,Step04 has 0 reviewer-facing VH CONTROL and VH MFA cells; Step06 robustness has groups with n_cells=1 or 2; Step05 cluster-region-condition table has sparse M1 VH MFA and M2 VH MFA groups.,A mechanism/pathway statement by region or condition is weak when strata have few or no reviewer-facing cells and some validation groups have one cell.,"PDF lines 51-53: variability, noise, and uncertainty are central to degeneracy claims.",Current weak region-condition claims are driven by acceptance-threshold sparsity rather than true absence of mechanisms.,Add a stratum coverage and minimum-cell gate to Step09 claim maturity; list unsupported strata and block region/condition claims where n_cells is below threshold.,"yes: cell_fit_quality_summary, robustness_summary, phenotype counts",yes: Step09 synthesis can read these tables,quick_win_current_outputs,low,1,next_iteration_quick_win,Improves objective claim boundaries without new simulations.,outputs/reviewer_synthesis/stratum_support_gate.csv,Region/condition mechanism claim requires predefined minimum reviewer-facing cells and predictive-supported groups.,Report only cell-level associations and identify sparse strata as limitations.,Step04 quality summary; Step06 robustness; Step09 synthesis,reviewed_individually
candidate mechanism regimes are biologically interpretable,candidate_regime_screen,"R5,R6",MECH-05,Half of Step06 mechanism-region-condition groups are prediction_limited,Step06 robustness_summary has 5 predictive_supported groups and 5 prediction_limited groups; weak groups include M1 VH CONTROL with perturbation robust fraction 0.0 and PPC coverage 0.081.,Mechanism regimes cannot be called broadly predictive or biologically robust when support is split across groups.,PDF lines 118-122: robustness under perturbations beyond fitted conditions is not systematically tested.,"Prediction-limited groups fail because of specific perturbation types, weak PPC thresholds, sparse cells, or poor Step04 accepted candidate quality.","Add a failure-mode decomposition table for each prediction_limited group by perturbation, current, PPC feature, and cell; prioritize remediable failures.","yes: perturbation_sweeps, feature_distribution_ppc, heldout_current_errors",yes: mostly groupby diagnostics,quick_win_current_outputs,low,1,next_iteration_quick_win,Directly identifies what to fix before rerunning heavy simulations.,outputs/predictive_validation/prediction_limited_failure_modes.csv,"A group can be upgraded only after failing features/perturbations are either fixed, justified, or excluded by predeclared criteria.",Restrict claims to predictive_supported groups only.,Step06 outputs,reviewed_individually
