parameter,coordinate_type,parameter_space,identifiability_class,classification,effective_parameter,expression,present_in_example,claim_guardrail,reviewer_interpretation
K_bath_value_middle,raw,raw,direct_candidate,direct_candidate,K_bath_value_middle,appears as a raw model term,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.
Va_l,raw,raw,weakly_interpretable,weakly_interpretable,Va_l,appears as a raw model term,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.
Va_s,raw,raw,weakly_interpretable,weakly_interpretable,Va_s,appears as a raw model term,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.
ca,raw,raw,direct_candidate,direct_candidate,ca,appears as a raw model term,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.
d,raw,raw,effective_combination_member,effective_combination_member,P_gap_eff,d * pk,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Vm-only gap-current terms identify the product more directly than d or pk separately.
eps,raw,raw,direct_candidate,direct_candidate,eps,appears as a raw model term,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.
gki,raw,raw,direct_candidate,direct_candidate,gki,appears as a raw model term,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.
gl_a,raw,raw,direct_candidate,direct_candidate,gl_a,appears as a raw model term,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.
gs,raw,raw,effective_combination_member,effective_combination_member,gamma_s_eff,gs * Sig_a / (w_a * F),True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Syncytial K dynamics constrain a scaled transport coefficient.
gt,raw,raw,effective_combination_member,effective_combination_member,gamma_t_eff,gt * Sig_a / (w_a * F),True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Transmembrane K dynamics constrain a scaled transport coefficient.
pk,raw,raw,effective_combination_member,effective_combination_member,P_gap_eff,d * pk,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Do not interpret permeability separately from gap distance without external constraints.
wo,raw,raw,effective_combination_member,effective_combination_member,volume_ratio_wa_wo,w_a / wo,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Vm and derived extracellular K depend on the astrocyte/extracellular volume ratio.
zs,raw,raw,weakly_interpretable,weakly_interpretable,zs,appears as a raw model term,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.
zth,raw,raw,weakly_interpretable,weakly_interpretable,zth,appears as a raw model term,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.
wo_middle,raw,raw,fixed_constant,fixed_constant,wo_middle,fixed/default or model-family setting,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Not treated as a fitted molecular estimate in Step 03A.
eps_middle,raw,raw,fixed_constant,fixed_constant,eps_middle,fixed/default or model-family setting,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Not treated as a fitted molecular estimate in Step 03A.
w_a,raw,raw,fixed_constant,fixed_constant,gamma_t_eff;gamma_s_eff;volume_ratio_wa_wo,fixed default in current fits,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,"A fixed modeling constant in current SQLite fits, not a direct inferred quantity."
switching_function,raw,raw,protocol_input,protocol_input,switching_function,fixed/default or model-family setting,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,Not treated as a fitted molecular estimate in Step 03A.
P_gap_eff,effective,effective,primary_interpretable,primary_interpretable,P_gap_eff,d * pk,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,"Primary coordinate for identifiability, reporting, and later mechanism-space interpretation."
gamma_t_eff,effective,effective,primary_interpretable,primary_interpretable,gamma_t_eff,gt * Sig_a / (w_a * F),True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,"Primary coordinate for identifiability, reporting, and later mechanism-space interpretation."
gamma_s_eff,effective,effective,primary_interpretable,primary_interpretable,gamma_s_eff,gs * Sig_a / (w_a * F),True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,"Primary coordinate for identifiability, reporting, and later mechanism-space interpretation."
volume_ratio_wa_wo,effective,effective,primary_interpretable,primary_interpretable,volume_ratio_wa_wo,w_a / wo,True,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy,"Primary coordinate for identifiability, reporting, and later mechanism-space interpretation."
